document    文档
type        类型
text        文本
title       标题
file        文件
directory   文件夹
element     元素
blod        加粗
order       排序
list        列表
item        项
none        无/去掉
table       表格
row         行
column      列
data        数据
style       样式
color       颜色
collapse    合并

unknown     未知的
property    属性
invalid     无效的
action      动作/提交
align       对齐方式
center      居中
background  背景
border      边框
solid       单实线
active      激活
bold        加粗
lighter     细体

display     显示模式
inline      行内元素
block       块级元素
position    位置/定位
relative    相对定位
absolute    绝对定位
fixed       固定定位
padding     内间距
margin      外间距
top         顶部
bottom      底部
auto        自动
size/sizing 尺寸/计算尺寸
vertical    垂直方向

overflow    溢出
scroll      拖拽条
scale       缩放
view        视图
port        端口
viewport    视口
variable    变量
const       常量
replace     替换
defined     定义
undefined   未定义
browser     浏览器
model       模型
window      窗口

create      创建
query       查询
element     元素
selector    选择器
append      追加
inner       内部
location    位置
confirm     确认
client      客户端
server      服务器
binding     绑定
event       事件
listener    监听
install     安装
router       路由
